,School,CDSCode,NCESCode,Magnet,Zip,Latitude,Longitude
1687,South Tahoe High,09619030937805,062064002481,N,96150-3718,38.907361,-120.01261
1708,Learning with a Purpose,09619450930198,063048008465,No Data,95623,38.68256986980488,-120.84824137530877
1736,American River Charter,09737830121566,060524012774,N,95634-9701,38.912449,-120.82703
1738,Golden Sierra Junior Senior High,09737830930073,060524000495,N,95633-0175,38.848227,-120.85818
1739,Divide High,09737830930099,060524007650,N,95634-9701,38.910901,-120.83392
1741,Black Oak Mine Community Day,09737830930156,060524005735,No Data,95634,38.91216032381576,-120.83091996508148
1754,Pacific Technology School Santa Ana,09765960119537,060133512419,No Data,92626,33.679642,-117.87860
1756,Crescent View West Public Charter,10101080109991,069100710789,N,93726-5309,36.780422,-119.78930
1758,Hume Lake Charter,10101080111682,069100711584,N,93628-9602,36.809106,-118.90657
1759,Big Picture Educational Academy,10101080119628,069100712427,N,93706-2611,36.730149,-119.80866
1770,Alice M. Worsley,10101081030337,069100709219,N,93725,36.663425,-119.73137
1771,Violet Heintz Education Academy,10101081030899,069100710481,N,93727-1523,36.770700,-119.73018
1772,Kermit Koontz Education Complex,10101081030923,069100710482,N,93703-3938,36.759913,-119.77926
1774,Fresno County Special Education,10101086069488,069100709220,N,93721-2002,36.735686,-119.79037
1819,Clovis Community Day Secondary,10621170110270,060903011586,N,93611-0581,36.834858,-119.68312
1822,Clovis North High,10621170113555,060903011855,N,93730-5400,36.890690,-119.73344
1824,Clovis Online Charter,10621170118018,060903012267,N,93611-0581,36.833213,-119.68406
1829,Clovis West High,10621171030196,060903000906,N,93720-1899,36.859235,-119.76356
1830,Enterprise Alternative,10621171030469,060903009760,N,93611-0569,36.837605,-119.68745
1832,Buchanan High,10621171030501,060903000367,N,93611-7698,36.857338,-119.71317
1833,Excel High,10621171030634,060903007084,No Data,93611-0581,36.83643451458918,-119.68823149541629
1834,Clovis East High,10621171030683,060903007959,N,93611-8474,36.797552,-119.63892
1836,Gateway High (Continuation),10621171031004,060903000910,N,93611-0598,36.837605,-119.68745
1837,Clovis High,10621171031053,060903000904,N,93611-2062,36.818233,-119.68183
1876,Cambridge High,10621251030113,060912000935,N,93210-2927,36.145137,-120.35980
1877,Chesnut High (Continuation),10621251030477,060912010205,N,93234-1090,36.210331,-120.09857
1879,Miles W. Culwell Community Day,10621251030873,060912008696,N,93210-1255,36.150900,-120.36231
1880,Coalinga High,10621251031376,060912000933,N,93210-1541,36.144332,-120.36327
1894,Fowler Academy Independent Study,10621580120246,061425012543,N,93625-2702,36.634485,-119.66766
1898,Fowler Academy Continuation,10621581031954,061425001637,N,93625-2702,36.634489,-119.66768
1900,Fowler High,10621581032150,061425001638,N,93625-2423,36.633092,-119.67268
1912,Design Science Middle College High,10621660108555,061455010779,Y,93741-6219,36.768182,-119.79604
1917,Sierra Charter,10621660114355,061455011846,N,93727-1510,36.767885,-119.72913
1918,University High,10621660114553,061455011911,N,93740,36.809710,-119.74805
1919,Fresno Academy for Civic and Entrepreneurial Leadership,10621660115196,061455011900,No Data,93721,36.731908,-119.79306
1922,Phoenix Secondary,10621660120964,061455012434,N,93725-1230,36.714597,-119.71348
1925,Phillip J Patino School of Entrepreneurship,10621660132134,061455013893,Y,93703,36.769549,-119.78828
1928,Endeavor Charter,10621660140038,061455014487,N,93704-2302,36.808119,-119.80753
1939,Bullard High,10621661030279,061455001711,N,93704-1941,36.817150,-119.81057
1940,J. E. Young Academic Center,10621661030287,061455005749,N,93701-1002,36.753917,-119.78923
1941,Erma Duncan Polytechnical High,10621661030295,061455008841,Y,93726-6102,36.785032,-119.75317
1943,Cambridge Continuation High,10621661030584,061455001986,N,93727-3907,36.733479,-119.73632
1944,School of Unlimited Learning,10621661030642,061455007497,N,93721-1104,36.742565,-119.79289
1945,New Millennium Institute of Education Charter,10621661030667,061455007962,No Data,93706-3117,36.727632,-119.80383
1946,Sunnyside High,10621661030675,061455007963,N,93727-4889,36.733718,-119.71832
1947,Florence E. Rata,10621661030717,061455007964,N,93711-2098,36.824616,-119.81682
1948,Fresno Prep Academy,10621661030733,061455007965,No Data,93726-6906,36.77964163662275,-119.76880969464894
1949,Renaissance Charter,10621661030816,061455008468,No Data,93726,36.80139046683165,-119.73710000502928
1950,Carter G. Woodson Public Charter,10621661030840,061455008697,N,93726-5712,36.780788,-119.76792
1951,NorthStar High School Academy,10621661030907,061455010486,No Data,93706,49.86732524158333,-119.41224453286684
1952,Dewolf Continuation High,10621661031632,061455001720,N,93703-2124,36.786021,-119.83947
1953,Edison High,10621661031897,061455001723,Y,93706-3736,36.721286,-119.80502
1955,Fresno High,10621661032507,061455001730,Y,93704-6047,36.766028,-119.80420
1956,Herbert Hoover High,10621661032911,061455001737,N,93710-6201,36.817510,-119.77220
1957,McLane High,10621661034214,061455001754,Y,93703-2016,36.775418,-119.75452
1958,Roosevelt High,10621661035831,061455001762,Y,93702-3037,36.743093,-119.75379
2051,Fulton,10621666112619,061455003024,N,93703-1424,36.778638,-119.76314
2053,Gateway Academy,10621666116602,061455008469,No Data,93706-3719,No Data,No Data
2056,Cornerstone Academy,10621666118095,061455008471,No Data,93701,42.33778657718121,-85.3480684966443
2062,West Fresno Performing Arts Academy,10621741030857,061458010491,No Data,93726,No Data,No Data
2063,One Step Up Charter Academy,10621741030865,061458008698,No Data,93706,No Data,No Data
2096,Kingsburg Independent Study High,10622570124727,061983012859,N,93631-1457,36.517911,-119.54108
2098,Kingsburg High,10622571033695,061983002383,N,93631-1629,36.517915,-119.54780
2099,Oasis Continuation High,10622571033729,061983002384,N,93631-1457,36.517940,-119.54157
2103,Orange Cove High,10622650108092,061970010782,N,93646-2374,36.617653,-119.32274
2104,Kings Canyon Online,10622650116640,061970012321,N,93621,36.734906,-119.11700
2108,Reedley Middle College High,10622650126292,061970013141,N,93654-2017,36.606072,-119.45861
2110,Mountain View (Alternative),10622651030378,061970009385,N,93654-2426,36.600518,-119.43888
2111,Kings Canyon Continuation,10622651033703,061970002369,N,93618-9208,36.588572,-119.37675
2112,Reedley High,10622651035310,061970002374,N,93654-2418,36.600659,-119.45583
2130,Laton Community Day,10622810110445,062115011589,No Data,93242,36.435255,-119.68269
2133,Laton High,10622811033950,062115002537,N,93242-0248,36.435255,-119.68269
2150,National University Academy - Orange Center,10623310124354,062853012966,N,93706-5615,36.682671,-119.78174
2151,California Virtual Academy at Fresno,10623310127175,062853013125,N,93065-1800,34.275868,-118.79798
2152,Compass Charter Schools of Fresno,10623310130880,062853013843,N,91361-6004,34.155695,-118.83089
2153,California Virtual Academy at Fresno,10623310137661,062853014251,N,93065-1800,34.275812,-118.79795
2161,Crescent View Charter High,10623640107623,062991010784,No Data,93726-5309,No Data,No Data
2163,San Joaquin Valley High,10623640126870,062991013666,N,93648-2034,36.611193,-119.52990
2166,Parlier High,10623641034990,062991004657,N,93648-2028,36.614310,-119.52539
2167,San Joaquin Valley Charter,10623641035005,062991009175,No Data,93648-2034,36.617375,-119.52982
2175,Ambassador Phillip V. Sanchez Public Charter,10623800124982,063168012984,N,93727-4641,36.737905,-119.69793
2176,Ambassador Phillip V. Sanchez II Public Charter,10623800136499,063168014206,N,93706-3117,36.727417,-119.80366
2177,California Academy of Sports Science Fresno,10623800136754,063168014207,N,91764-5104,34.069036,-117.54899
2178,University Prep -  Fresno,10623800138347,063168014325,N,91764-5104,34.069036,-117.54899
2179,California Vanguard Academy - Fresno,10623800138354,063168014306,N,91764-5104,34.069036,-117.54899
2194,Hallmark Academy,10624141030451,063525010074,N,93657-2780,36.702657,-119.57164
2195,Hallmark Charter,10624141030766,063525007967,N,93657-2780,36.703068,-119.57139
2197,Kings River High (Continuation),10624141036086,063525005974,N,93657-2895,36.705848,-119.56211
2198,Sanger High,10624141036094,063525005978,N,93657-2985,36.720493,-119.57411
2220,Selma Independent,10624301030758,063627008476,N,93662-3436,36.569177,-119.61837
2221,Heartland High (Continuation),10624301036607,063627006184,N,93662-3488,36.569177,-119.61837
2223,Selma High,10624301036672,063627006188,N,93662-2429,36.580899,-119.61520
2262,Rosalyn Charter,10625391030881,064206010492,No Data,92201,33.7178683,-116.2168788
2266,West Park Charter Academy,10625396112387,064206003032,N,93706-9042,36.691385,-119.85350
2268,Crescent View South Charter,10625470120535,064221012485,N,93722-6218,36.808335,-119.87032
2269,Opportunities For Learning - Fresno,10625470127159,064221013118,N,93706-2007,36.735685,-119.80325
2271,Yosemite Valley Charter,10625470135103,064221014019,N,93726-3840,36.793969,-119.76428
2272,Crescent View South II,10625470136523,064221014204,N,93706-6218,36.808335,-119.87032
2276,Firebaugh High,10738091030121,061384001561,N,93622-9711,36.846874,-120.44691
2277,El Puente High,10738091030147,061384001560,N,93622-2465,36.852549,-120.44806
2281,Firebaugh Community Day,10738091030691,061384007968,No Data,93622-2438,No Data,No Data
2288,Pathway Community Day,10739650114751,060797012076,N,93706-1332,36.742947,-119.82204
2292,Central Online Home,10739650140269,060797014455,N,93722-7210,36.770119,-119.85227
2294,Central Unified Alternative/Opportunity,10739651030386,060797009345,N,93722-5113,36.777792,-119.86226
2296,Central East High,10739651030626,060797005777,N,93722-7020,36.787386,-119.88038
2298,Pershing Continuation High,10739651035112,060797007672,N,93706-1700,36.742777,-119.82149
2318,Kerman Community Day,10739991030741,061949007969,No Data,93630,45.5696947,-122.83252951397064
2319,Enterprise High,10739991033422,061949008865,N,93630-1345,36.729428,-120.06479
2320,Kerman High,10739991033430,061949008866,N,93630-1001,36.731938,-120.06485
2332,Mendota Continuation High,10751271030261,060002200374,N,93640-2234,36.755328,-120.38925
2334,Mendota High,10751271030493,060002200395,N,93640,36.749346,-120.37703
2349,Rio Del Rey High (Continuation),10752341030352,069113410212,N,93627-9900,36.533793,-120.09788
2352,Tranquillity High,10752341037456,069113410214,N,93668,36.645943,-120.25434
2361,Sierra Alternative High,10752751030139,063680500399,N,93667-9643,37.037157,-119.45472
2364,University High,10752751030808,063680508477,No Data,93740-8010,No Data,No Data
2365,Sierra High,10752751036938,063680500401,N,93667-9644,37.035482,-119.45426
2371,Sierra@Home,10752756112544,063680503059,N,93667-9606,37.037387,-119.45211
2374,Horizon High,10754081030253,060004007830,N,93656-9401,36.430885,-119.85501
2377,Riverdale High,10754081035575,060004005120,N,93656-0726,36.430885,-119.85501
2381,MARC Community Day,10755980108985,060006710790,No Data,93609,No Data,No Data
2382,Caruthers High,10755981030535,060006700731,N,93609-0545,36.538216,-119.83844
2383,MARC High,10755981030543,060006700732,N,93609-0545,36.538328,-119.83836
2387,Elm High,10767780122473,060141512820,N,93706-5805,36.650368,-119.79540
2390,W.E.B. DuBois Public Charter,10767781030774,060141508472,N,93706,36.706625,-119.79989
2391,Easton Continuation High,10767781038298,060141507896,N,93706-5805,36.650368,-119.79540
2392,Washington High,10767781038306,060141506864,N,93706-6018,36.648148,-119.79091
2399,Success One!,11101160130724,069100813810,N,95963-1525,39.747927,-122.18334
2400,Conservation Corps of Long Beach Gateway Cities Charter,11101160130807,069100813820,N,90807-3417,33.823377,-118.18539
2402,Glenn County Juvenile Court,11101161130087,069100807086,N,95988,39.517633,-122.20890
2403,William Finch,11101161130103,069100808479,N,95963-1595,39.749587,-122.19749
2408,Glenn County Special Education,11101166077184,069100809221,N,95988-2739,39.517633,-122.20890
2421,Lake View Charter,11625960139550,062061014428,N,95963-8103,39.769365,-122.15921
2435,Princeton High Community Day,11626461130152,063162010496,No Data,95970,39.401532,-122.01118
2436,Princeton Junior-Senior High,11626461136209,063162004902,N,95970,39.401181,-122.01186
2443,Bidwell Point High (Continuation),11626531130046,063807009644,N,95939-0068,39.627986,-122.59807
2445,Elk Creek High,11626531132109,063807006441,N,95939-9708,39.627986,-122.59807
2450,Willows Community High,11626611130038,064271007370,N,95988-2946,39.517931,-122.20350
2451,Willows High Community Day,11626611130129,064271008483,No Data,95988,39.517931,-122.20350
2452,Willows High,11626611132851,064271006978,N,95988-2706,39.521844,-122.20106
2465,North Valley High (Continuation),11754811130012,060004507089,N,95963,39.754375,-122.19123
2466,Orland Community Day,11754811130145,060004508484,N,95963-1526,39.754375,-122.19123
2467,Orland High,11754811135656,060004507090,N,95963-1426,39.750985,-122.19017
2472,Ella Barkley High,11765621130053,060133910219,N,95951-0488,39.745406,-122.01707
2475,Hamilton High,11765621133701,060133902078,N,95951-0488,39.745455,-122.01903
2479,Eel River Community,12101240106153,069100910793,N,95540-2814,40.589833,-124.14181
2480,Eureka Community,12101240106161,069100910794,N,95501-0732,40.802991,-124.15239
2481,Southern Humboldt Community,12101240106179,069100910795,N,95542-3306,40.097391,-123.79718
2482,Hoopa Community,12101240106187,069100910796,No Data,95546,41.206987,-123.66175
2483,Humboldt County Office of Education Court,12101240106195,069100910797,N,95501,40.789257,-124.13981
2484,Humboldt County Office of Education Juvenile Hall Court,12101240106203,069100910798,N,95501-3212,40.789231,-124.13963
2485,Northcoast Preparatory and Performing Arts Academy,12101240115097,069100911934,N,95521-6463,40.863604,-124.07508
2487,Northcoast Preparatory and Performing Arts Academy,12101240134163,069100911934,N,95521-5403,40.872531,-124.09668
2488,Northern United - Humboldt Charter,12101240137364,069100914323,N,95503-6508,40.758299,-124.14839
2489,Humboldt County Court Schools,12101241230077,069100909222,No Data,95501-1219,40.78932286792453,-124.13971298113208
2490,Humboldt County Community,12101241230184,069100910499,No Data,95501,No Data,No Data
2495,Glen Paul,12101246077192,069100909223,N,95503-6212,40.765965,-124.14037
2502,Redwood Coast Montessori,12626790137653,060300014287,N,95521-9658,40.845518,-124.16933
2511,Six Rivers Charter High,12626870107110,060303010800,N,95521-5741,40.875686,-124.08991
2512,American Indian Academy,12626870111922,060303011591,No Data,95519,40.956315000000004,-124.1066375
2513,Laurel Tree Charter,12626870124263,060303012960,N,95521-4683,40.899409,-124.08351
